# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster268     COVAR   16076       1.8769    0.0028127       4.9026      0.35092
Cluster269     COVAR   16076       5.7882    0.0076704       5.4651      0.14478
Cluster27      COVAR   16076       1.8972    0.0087022        1.502      0.10328
Cluster270     COVAR   16076       9.5331     0.014472       4.8005     0.023533
Cluster271     COVAR   16076       7.9606     0.011478       5.0311     0.056804
Cluster272     COVAR   16076         9.87     0.017932       4.0697    0.0076555
Cluster273     COVAR   16076       16.051     0.021568       5.4033    0.0014888
Cluster274     COVAR   16076       12.978     0.019004       4.9569    0.0044258
Cluster275     COVAR   16076       10.588     0.016246       4.7632     0.013123
Cluster276     COVAR   16076      -1.7879    -0.002834       4.1512      0.66665
Cluster277     COVAR   16076       5.0047    0.0080051       4.2852      0.12143
Cluster278     COVAR   16076        6.028    0.0088025       4.8539      0.10715
Cluster279     COVAR   16076       3.2239    0.0051543       4.3982      0.23179
Cluster28      COVAR   16076       1.1362      0.00679       1.1617      0.16403
Cluster280     COVAR   16076      -1.8537   -0.0029232       4.4629      0.66105
Cluster281     COVAR   16076      -1.0993   -0.0020513       3.6988      0.61684
Cluster282     COVAR   16076     0.094035   0.00018386       3.6336      0.48968
Cluster283     COVAR   16076        5.257    0.0072029       5.1871      0.15542
Cluster284     COVAR   16076        1.079    0.0015763       4.8774      0.41246
Cluster285     COVAR   16076      -2.2231   -0.0032037       4.8211      0.67764
Cluster286     COVAR   16076       10.243     0.014646       5.0732     0.021748
Cluster287     COVAR   16076       10.252     0.016941       4.2547    0.0079904
Cluster288     COVAR   16076       12.025      0.01704       5.0957    0.0091473
Cluster289     COVAR   16076      -1.9055   -0.0033173       4.0747      0.67998
Cluster29      COVAR   16076      0.95073    0.0070523      0.89418      0.14384
Cluster290     COVAR   16076       1.0959    0.0017083       4.6145      0.40614
Cluster291     COVAR   16076      -3.0642   -0.0044523       4.8542      0.73605
Cluster292     COVAR   16076      0.73162     0.001112       4.6985      0.43813
Cluster293     COVAR   16076       3.3274    0.0065381       3.5113      0.17167
Cluster294     COVAR   16076       5.0339    0.0071753       5.0999      0.16182
Cluster295     COVAR   16076       1.2797    0.0023478        3.896      0.37128
Cluster296     COVAR   16076       3.0878    0.0049199       4.4252      0.24266
Cluster297     COVAR   16076       1.0778     0.009598       0.7072     0.063764
Cluster298     COVAR   16076      0.92011    0.0019253       3.3475      0.39171
Cluster299     COVAR   16076      -2.8739   -0.0056615       3.5957      0.78793
Cluster3       COVAR   16076     -0.87463    -0.013293      0.45836      0.97181
Cluster30      COVAR   16076       1.4809     0.007011       1.4024      0.14549
Cluster300     COVAR   16076     -0.10336  -0.00024174       2.9361      0.51404
Cluster301     COVAR   16076       5.5764     0.012575       3.0355      0.03311
Cluster302     COVAR   16076    -0.011547  -3.6587e-05       2.1091      0.50218
Cluster303     COVAR   16076       1.3067    0.0040363       2.2088      0.27706
Cluster304     COVAR   16076       1.4429    0.0035241       2.7799      0.30187
Cluster305     COVAR   16076       1.4408    0.0036406       2.7167      0.29794
Cluster306     COVAR   16076        2.471    0.0053771       3.0873      0.21175
Cluster307     COVAR   16076       2.3984    0.0048992       3.2864      0.23277
Cluster308     COVAR   16076       2.3078    0.0059194       2.7363      0.19951
Cluster309     COVAR   16076      0.58491    0.0011849       3.5607      0.43476
Cluster31      COVAR   16076      0.43355    0.0027829       1.0408       0.3385
Cluster310     COVAR   16076       2.8865    0.0072104       2.9286      0.16217
Cluster311     COVAR   16076        2.472    0.0073429       2.4541       0.1569
Cluster312     COVAR   16076        1.499    0.0048429       2.3163      0.25877
Cluster313     COVAR   16076      -1.8561    -0.006646       1.8781      0.83848
Cluster314     COVAR   16076      0.25595    0.0015186       1.1257      0.41007
Cluster315     COVAR   16076       3.3513    0.0063313       3.6615      0.18003
Cluster316     COVAR   16076       2.8651    0.0077437        2.632      0.13818
Cluster317     COVAR   16076     -0.91091   -0.0022542       2.9721      0.62038
Cluster318     COVAR   16076        -2.14   -0.0046784       3.2295      0.74621
Cluster319     COVAR   16076      -1.9578   -0.0041719       3.2943      0.72384
Cluster32      COVAR   16076       3.7244      0.01071       2.5286     0.070404
