# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster123     COVAR   16361       27.515     0.036426        6.739   2.2353e-05
Cluster124     COVAR   16361       10.012     0.016087       5.4729     0.033675
Cluster125     COVAR   16361       15.991     0.022187        6.411    0.0063167
Cluster126     COVAR   16361       5.7369     0.012312        4.237     0.087882
Cluster127     COVAR   16361     -0.65589   -0.0013198       4.5129      0.55778
Cluster128     COVAR   16361       14.901     0.020868       6.4097     0.010048
Cluster129     COVAR   16361       11.724      0.01647       6.3796     0.033059
Cluster13      COVAR   16361      -3.4167    -0.028552       1.0133      0.99963
Cluster130     COVAR   16361       16.307     0.021671       6.6024    0.0067644
Cluster131     COVAR   16361       10.314     0.014364       6.3581     0.052391
Cluster132     COVAR   16361       35.222     0.056017       5.5483   1.1231e-10
Cluster133     COVAR   16361       32.201     0.041344       6.9793   1.9953e-06
Cluster134     COVAR   16361       15.554      0.02435       5.7983    0.0036584
Cluster135     COVAR   16361       2.4564    0.0049037       4.5322      0.29392
Cluster136     COVAR   16361       19.081      0.03439       4.7491   2.9537e-05
Cluster137     COVAR   16361       10.971     0.017511       5.5384     0.023814
Cluster138     COVAR   16361       14.549     0.024677       5.1991     0.002572
Cluster139     COVAR   16361       10.552     0.016062       5.7584     0.033451
Cluster14      COVAR   16361      -2.5629    -0.018726       1.1946      0.98403
Cluster140     COVAR   16361       19.712     0.027191        6.371   0.00098926
Cluster141     COVAR   16361       16.839     0.024194       6.1986    0.0033021
Cluster142     COVAR   16361     -0.57553   -0.0011557       4.4554      0.55139
Cluster143     COVAR   16361      -2.3141   -0.0036127       5.8243      0.65443
Cluster144     COVAR   16361       5.7978    0.0084042        6.169      0.17366
Cluster145     COVAR   16361     -0.22497  -0.00037825       5.2648      0.51704
Cluster146     COVAR   16361       21.243     0.029076       6.6048   0.00065074
Cluster147     COVAR   16361       14.124     0.017965       6.8883     0.020168
Cluster148     COVAR   16361       16.207     0.021905       6.6449    0.0073707
Cluster149     COVAR   16361       21.955     0.029626       6.5518   0.00040371
Cluster15      COVAR   16361      -2.7277    -0.020927       1.1712      0.99006
Cluster150     COVAR   16361       3.2487    0.0066031       4.3903      0.22967
Cluster151     COVAR   16361     -0.74141   -0.0014256       4.6474      0.56337
Cluster152     COVAR   16361      -4.0267   -0.0095734       3.6923      0.86225
Cluster153     COVAR   16361       9.6956     0.017571        4.741     0.020433
Cluster154     COVAR   16361       9.1654     0.015997        5.026     0.034116
Cluster155     COVAR   16361       24.004     0.031959       6.6835   0.00016489
Cluster156     COVAR   16361       17.348     0.026439       5.5778   0.00093677
Cluster157     COVAR   16361        8.737     0.016434       4.7448     0.032794
Cluster158     COVAR   16361       16.659     0.023762       6.1898    0.0035618
Cluster159     COVAR   16361       6.7369     0.010194       5.8067      0.12299
Cluster16      COVAR   16361      -4.0455    -0.025501         1.41      0.99794
Cluster160     COVAR   16361       1.9887     0.004214       3.9473       0.3072
Cluster161     COVAR   16361       7.0834     0.014468       4.2149     0.046436
Cluster162     COVAR   16361       11.641     0.018529       5.5698     0.018319
Cluster163     COVAR   16361       9.4342     0.017742       4.5529     0.019135
Cluster164     COVAR   16361        7.814     0.014987       4.5505     0.042986
Cluster165     COVAR   16361       1.9546    0.0037326       4.7199       0.3394
Cluster166     COVAR   16361       2.1808    0.0040876       4.7179      0.32195
Cluster167     COVAR   16361       11.354     0.018463       5.4577     0.018751
Cluster168     COVAR   16361       15.022     0.028223       4.6562   0.00062843
Cluster169     COVAR   16361       3.5436    0.0061311       4.9734      0.23808
Cluster17      COVAR   16361      -2.1872     -0.01986      0.96278      0.98844
Cluster170     COVAR   16361       11.493     0.017576       5.6104     0.020268
Cluster171     COVAR   16361       6.1254     0.013006       4.0066     0.063164
Cluster172     COVAR   16361       11.561     0.019223       5.4519     0.016989
Cluster173     COVAR   16361       6.2547     0.013008       4.0343     0.060535
Cluster174     COVAR   16361       3.6403     0.006214       5.2164      0.24264
Cluster175     COVAR   16361        5.048    0.0082586         5.59      0.18326
Cluster176     COVAR   16361       3.5706    0.0072852       4.0569       0.1894
Cluster177     COVAR   16361       19.282     0.026985       6.2974    0.0011019
Cluster178     COVAR   16361        11.66      0.01873        5.446     0.016148
Cluster179     COVAR   16361       15.861      0.02491       5.6525    0.0025118
Cluster18      COVAR   16361      -3.3792    -0.029525       1.0018      0.99963
Cluster180     COVAR   16361       2.7596     0.006217       4.0485      0.24773
Cluster181     COVAR   16361       4.4763    0.0083615       4.8192       0.1765
Cluster182     COVAR   16361       3.2232    0.0069689       4.1367      0.21795
Cluster183     COVAR   16361       6.6886     0.012085       4.8303     0.083078
Cluster184     COVAR   16361      -2.2233   -0.0055584       3.4949      0.73766
Cluster185     COVAR   16361       10.762     0.018905       4.9351      0.01461
Cluster186     COVAR   16361       2.8843    0.0057172       4.3491       0.2536
Cluster187     COVAR   16361       7.1894     0.011405       5.5769     0.098686
Cluster188     COVAR   16361       9.9172     0.015817       5.2704      0.02995
Cluster189     COVAR   16361      -2.5945   -0.0056186       3.9225      0.74583
Cluster19      COVAR   16361      -2.8928    -0.020321       1.2319      0.99056
Cluster190     COVAR   16361      -3.3638   -0.0070368       4.2259      0.78698
Cluster191     COVAR   16361      -2.0284   -0.0041091        4.191       0.6858
Cluster192     COVAR   16361      -1.2489   -0.0030094       3.4548      0.64113
Cluster193     COVAR   16361     -0.61624   -0.0011184        4.657      0.55264
Cluster194     COVAR   16361      -2.6902   -0.0058039       3.8438      0.75799
Cluster195     COVAR   16361      -3.3253   -0.0066457       4.3854      0.77585
Cluster196     COVAR   16361       3.7215    0.0067258       4.8243      0.22024
Cluster197     COVAR   16361      -2.0819   -0.0037723       4.9046      0.66438
Cluster198     COVAR   16361       1.5555     0.002962       4.5637      0.36661
Cluster199     COVAR   16361      0.64256    0.0016427       3.1976      0.42037
Cluster2       COVAR   16361      -1.0176    -0.015875      0.54958      0.96795
Cluster20      COVAR   16361      -2.1214    -0.013774       1.3079      0.94759
Cluster200     COVAR   16361       3.5694    0.0073108       3.9959      0.18586
Cluster201     COVAR   16361       11.069     0.016945       5.7676     0.027488
Cluster202     COVAR   16361       16.442     0.027261       5.2454   0.00086256
Cluster203     COVAR   16361       7.6334     0.012601       5.3745     0.077769
