# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster109     COVAR    135   16333       21.288     0.028596       7.3646    0.0019261
Cluster231     COVAR    135   16333       39.986     0.053244       7.2056   1.4625e-08
Cluster109     COVAR    136   16333       22.608     0.030369       7.3995    0.0011265
Cluster232     COVAR    136   16333       30.948     0.042042       7.1317   7.1951e-06
Cluster109     COVAR    137   16333       20.635     0.027719       7.3776    0.0025829
Cluster233     COVAR    137   16333       42.235     0.056202        7.361   4.9069e-09
Cluster109     COVAR    138   16333       21.416     0.028768       7.3874    0.0018752
Cluster234     COVAR    138   16333       40.553     0.050227       7.8659    1.283e-07
Cluster109     COVAR    139   16333       27.148     0.036469       7.2312   8.7278e-05
Cluster236     COVAR    139   16333       25.591     0.038413       6.2891   2.3732e-05
Cluster109     COVAR    140   16333       24.025     0.032273       7.2795   0.00048407
Cluster237     COVAR    140   16333         40.1     0.050597       7.4476   3.7003e-08
Cluster109     COVAR    141   16333        27.43     0.036847       7.2326   7.4897e-05
Cluster238     COVAR    141   16333       24.506     0.034821       6.6972   0.00012704
Cluster109     COVAR    142   16333        20.68      0.02778       7.2957    0.0022977
Cluster239     COVAR    142   16333       53.752     0.072143        7.251   6.5475e-14
Cluster109     COVAR    143   16333       23.476     0.031535       7.2529   0.00060603
Cluster240     COVAR    143   16333       48.207     0.063854       7.1227   6.8026e-12
Cluster109     COVAR    144   16333       23.037     0.030946       7.2545   0.00074946
Cluster241     COVAR    144   16333       46.425     0.068431       6.5647   8.0253e-13
Cluster109     COVAR    145   16333       21.426     0.028782       7.2877    0.0016437
Cluster242     COVAR    145   16333       53.249     0.068375       7.4713   5.3921e-13
Cluster109     COVAR    146   16333       21.398     0.028744        7.331    0.0017595
Cluster243     COVAR    146   16333       42.585     0.060679       7.0155   6.5637e-10
Cluster109     COVAR    147   16333       26.071     0.035021       7.3104   0.00018173
Cluster244     COVAR    147   16333       19.967     0.029819       6.3359   0.00081411
Cluster109     COVAR    148   16333       26.987     0.036252       7.2414   9.7375e-05
Cluster245     COVAR    148   16333       25.147     0.035977       6.5789   6.6379e-05
Cluster109     COVAR    149   16333       24.533     0.032955       7.3092   0.00039587
Cluster248     COVAR    149   16333       28.308      0.04183       6.5497   7.7893e-06
Cluster109     COVAR    150   16333       21.374     0.028712       7.3697    0.0018673
Cluster249     COVAR    150   16333       39.918     0.052391       7.3634   3.0135e-08
Cluster109     COVAR    151   16333       23.666      0.03179       7.2828   0.00057937
Cluster250     COVAR    151   16333       34.262     0.057896       6.1407   1.2299e-08
Cluster109     COVAR    152   16333       25.071     0.033678       7.2422   0.00026914
Cluster251     COVAR    152   16333       36.888     0.057608       6.3723   3.6252e-09
Cluster109     COVAR    153   16333       24.856     0.033389       7.2488   0.00030385
Cluster252     COVAR    153   16333       38.237      0.05638       6.7015   5.9157e-09
Cluster109     COVAR    154   16333       25.337     0.034035       7.2651   0.00024462
Cluster253     COVAR    154   16333       29.979     0.045465       6.4025   1.4322e-06
Cluster109     COVAR    155   16333       27.726     0.037244       7.2091   6.0343e-05
Cluster256     COVAR    155   16333        29.59     0.044304       6.1066   6.3841e-07
Cluster109     COVAR    156   16333       24.799     0.033313       7.2883   0.00033469
Cluster257     COVAR    156   16333       32.274     0.042921       7.1137   2.8807e-06
Cluster109     COVAR    157   16333       27.118     0.036427       7.2405   9.0489e-05
Cluster258     COVAR    157   16333       24.032     0.035627       6.4822   0.00010515
Cluster109     COVAR    158   16333       22.102     0.029689       7.3033    0.0012404
Cluster259     COVAR    158   16333       46.123     0.060702       7.4261   2.7137e-10
Cluster109     COVAR    159   16333       23.478     0.031538       7.2804   0.00063189
Cluster260     COVAR    159   16333       40.201     0.056101       6.9355   3.4647e-09
Cluster109     COVAR    160   16333       23.319     0.031325       7.2779   0.00067911
Cluster261     COVAR    160   16333       41.305     0.058113       6.8908    1.049e-09
Cluster109     COVAR    161   16333       21.808     0.029295       7.2876    0.0013862
Cluster262     COVAR    161   16333       50.062      0.06663       7.3081   3.8531e-12
Cluster109     COVAR    162   16333       23.224     0.031197       7.2557   0.00068689
Cluster263     COVAR    162   16333       46.724     0.066716       6.8076     3.51e-12
Cluster109     COVAR    163   16333        25.37      0.03408       7.2282   0.00022488
Cluster264     COVAR    163   16333       40.491     0.059298       6.4891   2.2565e-10
Cluster109     COVAR    164   16333       26.214     0.035213       7.2409   0.00014773
Cluster265     COVAR    164   16333       29.331     0.045273       6.2603   1.4122e-06
Cluster109     COVAR    165   16333        27.39     0.036793       7.2111   7.3163e-05
Cluster266     COVAR    165   16333       32.608     0.047629       6.3623   1.5071e-07
