# TOTAL_GENES = 16365
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster338     COVAR   16365      0.78865    0.0020622       2.9299       0.3939
Cluster339     COVAR   16365     0.039632   6.8374e-05         4.01      0.49606
Cluster34      COVAR   16365       3.4569    0.0084796       3.0398      0.12773
Cluster340     COVAR   16365       1.8562      0.00444       2.8777      0.25946
Cluster341     COVAR   16365       1.8672    0.0040401       3.2365        0.282
Cluster342     COVAR   16365      -2.4545   -0.0067666       2.5583      0.83132
Cluster343     COVAR   16365       0.1935   0.00056387       2.6635      0.47104
Cluster344     COVAR   16365      0.92722    0.0019105       3.7241      0.40169
Cluster345     COVAR   16365      -1.5337   -0.0042849       2.7155      0.71389
Cluster346     COVAR   16365       3.4391    0.0098959       2.6344     0.095881
Cluster347     COVAR   16365       6.1324     0.012206         3.88     0.057004
Cluster348     COVAR   16365       2.0719    0.0056334       3.0635      0.24943
Cluster349     COVAR   16365       2.0075     0.004069       3.9083      0.30375
Cluster35      COVAR   16365       3.7308    0.0092187       3.0103      0.10762
Cluster350     COVAR   16365       3.8074    0.0063996       4.4986      0.19869
Cluster351     COVAR   16365       3.6551    0.0065496        4.077        0.185
Cluster352     COVAR   16365       10.222     0.016988       4.3417     0.009281
Cluster353     COVAR   16365       9.0854     0.015764       4.0024     0.011611
Cluster354     COVAR   16365       2.9102    0.0039226       5.2857      0.29096
Cluster355     COVAR   16365       3.4363    0.0041592       5.9777       0.2827
Cluster356     COVAR   16365      -3.0661   -0.0039987       5.5339      0.71023
Cluster357     COVAR   16365       1.5486    0.0025897        4.265      0.35827
Cluster358     COVAR   16365       5.6164    0.0076525       5.2595       0.1428
Cluster359     COVAR   16365       6.4624      0.01058        4.235     0.063523
Cluster36      COVAR   16365       1.5058    0.0038442       2.8477      0.29848
Cluster360     COVAR   16365       1.6627    0.0027671       4.5868       0.3585
Cluster361     COVAR   16365       1.6609    0.0029073       4.1791      0.34553
Cluster362     COVAR   16365      -6.8164    -0.010534       4.8256      0.92109
Cluster363     COVAR   16365       5.9826     0.012393       3.5018     0.043791
Cluster364     COVAR   16365      -5.3382     -0.00891       4.2761      0.89404
Cluster365     COVAR   16365      -8.3285    -0.011426       5.3891      0.93887
Cluster366     COVAR   16365       1.3513    0.0023318       4.1377      0.37199
Cluster367     COVAR   16365         5.01    0.0062306       5.8501      0.19589
Cluster368     COVAR   16365      0.87783    0.0017726        3.488      0.40065
Cluster369     COVAR   16365        6.781    0.0093413        5.204      0.09629
Cluster37      COVAR   16365      0.56398    0.0017885       2.3777      0.40625
Cluster370     COVAR   16365       3.7042    0.0051505       5.2039       0.2383
Cluster371     COVAR   16365       1.3453    0.0026133       3.7706      0.36063
Cluster372     COVAR   16365       1.3491    0.0021917       4.2838      0.37641
Cluster373     COVAR   16365       5.8407     0.009583       4.3414     0.089267
Cluster374     COVAR   16365      0.73331    0.0012536       4.2024      0.43074
Cluster375     COVAR   16365       3.5767    0.0065215       3.8342      0.17546
Cluster376     COVAR   16365        2.926     0.004411       4.7988      0.27102
Cluster377     COVAR   16365       11.703     0.019157       4.4268    0.0041063
Cluster378     COVAR   16365       7.6293     0.012895       4.2193     0.035299
Cluster379     COVAR   16365       0.3746   0.00069999       3.7865       0.4606
Cluster38      COVAR   16365     -0.87501   -0.0029654       2.1112      0.66073
Cluster380     COVAR   16365      -2.7334   -0.0047047       4.2929      0.73784
Cluster381     COVAR   16365      -2.3593   -0.0043062       3.9396      0.72537
Cluster382     COVAR   16365       3.9276    0.0069106       4.0195      0.16426
Cluster383     COVAR   16365      -0.6497   -0.0011951       3.7539       0.5687
Cluster384     COVAR   16365       1.3186    0.0019527       4.9558       0.3951
Cluster385     COVAR   16365      0.17461   0.00023757       5.3352      0.48695
Cluster386     COVAR   16365       8.9576     0.016509       3.9121     0.011028
Cluster387     COVAR   16365       0.5817    0.0010942        3.767      0.43864
Cluster388     COVAR   16365      0.26487   0.00051525       3.6192      0.47083
Cluster389     COVAR   16365       6.5754    0.0097979        4.827     0.086579
Cluster39      COVAR   16365      -1.9443   -0.0088597       1.5417      0.89635
Cluster390     COVAR   16365       7.0262    0.0094951        5.215     0.088953
Cluster391     COVAR   16365       4.7721    0.0084121       3.9808      0.11532
Cluster392     COVAR   16365       7.9639     0.011742       4.8499     0.050297
Cluster393     COVAR   16365       4.9672    0.0067549       5.4024      0.17894
Cluster394     COVAR   16365       3.1511    0.0056536       3.7984      0.20339
Cluster395     COVAR   16365      -0.3455  -0.00084517       3.0383      0.54527
Cluster396     COVAR   16365       4.9644    0.0086214       4.2245      0.11998
Cluster397     COVAR   16365      -3.1495   -0.0069667       3.2398       0.8345
Cluster398     COVAR   16365      -2.6733   -0.0063497       3.1227      0.80401
Cluster399     COVAR   16365       2.0792    0.0067575       2.4112      0.19427
Cluster4       COVAR   16365      0.13122     0.001152      0.80971      0.43563
Cluster40      COVAR   16365     -0.24772  -0.00076276        2.352      0.54194
Cluster400     COVAR   16365       1.5927    0.0048747       2.5535      0.26641
Cluster401     COVAR   16365        1.268    0.0028773       3.1698      0.34457
Cluster402     COVAR   16365       4.1727    0.0082946       3.5414      0.11935
Cluster403     COVAR   16365       6.5471     0.011887        3.985     0.050212
Cluster404     COVAR   16365       8.7659     0.010186       6.1383     0.076649
