# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster372     COVAR   16076     -0.32198  -0.00052675       4.6214      0.52777
Cluster373     COVAR   16076      0.17563   0.00028843       4.6113      0.48481
Cluster374     COVAR   16076     -0.62746   -0.0010805       4.3692      0.55709
Cluster375     COVAR   16076     -0.94938   -0.0017381        4.049      0.59269
Cluster376     COVAR   16076       2.1772    0.0033009       4.9743      0.33081
Cluster377     COVAR   16076      -1.6629   -0.0027393       4.5064      0.64393
Cluster378     COVAR   16076       7.4858     0.012747       4.5026     0.048213
Cluster379     COVAR   16076     -0.81829   -0.0015351       3.8393      0.58439
Cluster38      COVAR   16076     -0.33397   -0.0011322       2.1386      0.56205
Cluster380     COVAR   16076       1.2837    0.0022111       4.3856      0.38488
Cluster381     COVAR   16076      -7.0171    -0.012902       3.9959      0.96045
Cluster382     COVAR   16076      -1.1892   -0.0021089       4.3013       0.6089
Cluster383     COVAR   16076      -4.0302   -0.0074788       3.9062       0.8489
Cluster384     COVAR   16076      -6.5031   -0.0096786       5.1483      0.89672
Cluster385     COVAR   16076       2.7804    0.0038001       5.6244      0.31054
Cluster386     COVAR   16076       5.5827     0.010357       4.0348     0.083249
Cluster387     COVAR   16076      -3.5868   -0.0067786        3.679       0.8352
Cluster388     COVAR   16076      -1.9655   -0.0038377       3.8639      0.69451
Cluster389     COVAR   16076      -5.5418   -0.0082602        5.143      0.85937
Cluster39      COVAR   16076      0.69286     0.003161       1.5467      0.32709
Cluster390     COVAR   16076      -2.0509   -0.0027659       5.6037      0.64281
Cluster391     COVAR   16076        2.601    0.0045698       4.2101      0.26836
Cluster392     COVAR   16076      -6.1699   -0.0090762       5.1891      0.88277
Cluster393     COVAR   16076     -0.24099  -0.00032846       5.5896      0.51719
Cluster394     COVAR   16076      -3.5716   -0.0064429       4.1349      0.80614
Cluster395     COVAR   16076       4.7344     0.011685       3.1009     0.063421
Cluster396     COVAR   16076      -4.2411   -0.0074187       4.2002      0.84368
Cluster397     COVAR   16076      -5.9673     -0.01331       3.4046      0.96016
Cluster398     COVAR   16076      -0.5703    -0.001366       3.1222      0.57247
Cluster399     COVAR   16076     -0.84874   -0.0027854       2.3167      0.64295
Cluster4       COVAR   16076       0.6169    0.0054673      0.81302        0.224
Cluster40      COVAR   16076      0.40848    0.0012582       2.3635       0.4314
Cluster400     COVAR   16076      0.39234    0.0012128       2.5017      0.43769
Cluster401     COVAR   16076       2.6319    0.0060095       3.1996      0.20539
Cluster402     COVAR   16076       1.2733     0.002521       3.8532      0.37053
Cluster403     COVAR   16076      -3.1388   -0.0057051       4.0331      0.78179
Cluster404     COVAR   16076      -10.867    -0.012627       6.3574       0.9563
Cluster405     COVAR   16076        -1.71   -0.0021194       6.1829      0.60894
Cluster406     COVAR   16076      -7.5699    -0.013362       4.7849      0.94317
Cluster407     COVAR   16076      -2.0075   -0.0026286       5.7336      0.63688
Cluster408     COVAR   16076       1.2862    0.0038454       2.3674      0.29346
Cluster409     COVAR   16076       4.1089     0.011322       2.8637     0.075679
Cluster41      COVAR   16076    -0.070275  -0.00017486       2.9207       0.5096
Cluster410     COVAR   16076       2.9702    0.0069006       3.0703      0.16669
Cluster411     COVAR   16076      -3.5628   -0.0083906       3.1885      0.86807
Cluster412     COVAR   16076      -2.1178   -0.0054896       3.2274      0.74415
Cluster413     COVAR   16076      -1.5435   -0.0035012       3.5774      0.66693
Cluster414     COVAR   16076      -3.9635   -0.0094707       3.0725      0.90147
Cluster415     COVAR   16076      0.97913    0.0016282       4.3471       0.4109
Cluster416     COVAR   16076       4.3881    0.0079163        4.311      0.15437
Cluster417     COVAR   16076       3.0128    0.0048328       4.8155      0.26578
Cluster418     COVAR   16076       2.1465    0.0044327       3.6236      0.27681
Cluster419     COVAR   16076       7.3805    0.0096424       5.8154      0.10221
Cluster42      COVAR   16076     -0.38497  -0.00094726       2.9361      0.55216
Cluster420     COVAR   16076       7.4468     0.011768       4.5801     0.051998
Cluster421     COVAR   16076         7.91     0.012616       4.7627     0.048384
Cluster422     COVAR   16076      0.67546   0.00086815       6.0568       0.4556
Cluster423     COVAR   16076       12.989      0.01447       6.8684     0.029313
Cluster424     COVAR   16076       15.192      0.01768       6.4897    0.0096252
Cluster425     COVAR   16076       17.249     0.021321       6.0817    0.0022855
Cluster426     COVAR   16076        3.759    0.0041779       6.8803      0.29242
Cluster427     COVAR   16076      -3.6165    -0.004773       5.8275      0.73256
Cluster428     COVAR   16076        4.253    0.0054644       6.0044      0.23938
Cluster429     COVAR   16076       7.6923     0.011595        5.013      0.06247
Cluster43      COVAR   16076     -0.78907   -0.0023747       2.3506      0.63145
Cluster430     COVAR   16076      -4.4641   -0.0071975       4.8005      0.82379
Cluster431     COVAR   16076     -0.78983   -0.0021827       2.7708       0.6122
Cluster432     COVAR   16076     -0.16044  -0.00057656       2.2519       0.5284
Cluster433     COVAR   16076     -0.26991   -0.0005447       3.7289      0.52885
Cluster434     COVAR   16076       4.5376    0.0079082       4.3344      0.14759
