# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster201     COVAR   16076      -6.3454   -0.0098007       5.0535      0.89537
Cluster202     COVAR   16076      -3.6006   -0.0059836       4.6637      0.77995
Cluster203     COVAR   16076      -8.5214    -0.014161       4.6674      0.96604
Cluster204     COVAR   16076      -5.9156    -0.011568       3.9492      0.93291
Cluster205     COVAR   16076      -6.2506    -0.010708       4.6465      0.91071
Cluster206     COVAR   16076       3.3017     0.006662       3.7971      0.19229
Cluster207     COVAR   16076       1.3063    0.0023334       4.3797      0.38275
Cluster208     COVAR   16076       3.5988    0.0063051       4.4582      0.20978
Cluster209     COVAR   16076        2.421    0.0058966       3.1254      0.21929
Cluster21      COVAR   16076     -0.20112   -0.0012154        1.222      0.56536
Cluster210     COVAR   16076     -0.26507  -0.00054356       3.7501      0.52817
Cluster211     COVAR   16076      0.90103    0.0021601       3.1372      0.38698
Cluster212     COVAR   16076       5.1944    0.0095892       4.1711      0.10652
Cluster213     COVAR   16076      0.36418   0.00061292       4.6442      0.46875
Cluster214     COVAR   16076       3.0627    0.0049062       4.8814      0.26519
Cluster215     COVAR   16076       1.8703    0.0040488       3.5436      0.29883
Cluster216     COVAR   16076       4.1118    0.0061195       5.2882      0.21842
Cluster217     COVAR   16076      0.20913   0.00025169       6.6186       0.4874
Cluster218     COVAR   16076       3.2262    0.0050547       4.8805       0.2543
Cluster219     COVAR   16076       2.0248    0.0027185        5.798      0.36346
Cluster22      COVAR   16076      0.19461    0.0010705       1.3537      0.44284
Cluster220     COVAR   16076      -2.2551   -0.0034602        5.095      0.67097
Cluster221     COVAR   16076       8.0755     0.014957       4.1886     0.026939
Cluster222     COVAR   16076       5.3443    0.0097528       4.2186      0.10262
Cluster223     COVAR   16076       3.6487    0.0065154       4.1509       0.1897
Cluster224     COVAR   16076       4.0491    0.0057583        5.444      0.22852
Cluster225     COVAR   16076      -1.8087   -0.0028426       4.8922       0.6442
Cluster226     COVAR   16076      -2.1799   -0.0030221       5.6328      0.65062
Cluster227     COVAR   16076      0.80395    0.0011839       5.2534      0.43919
Cluster228     COVAR   16076       1.0658    0.0013612       6.1514      0.43123
Cluster229     COVAR   16076       1.7186     0.002373       5.5408      0.37822
Cluster23      COVAR   16076     -0.11133  -0.00058306       1.4452       0.5307
Cluster230     COVAR   16076      -0.5108  -0.00068113       5.8897      0.53456
Cluster231     COVAR   16076       -1.168   -0.0015651       5.8295       0.5794
Cluster232     COVAR   16076      -6.4426    -0.008813       5.7118      0.87032
Cluster233     COVAR   16076      -5.8135   -0.0078041       6.0135      0.83316
Cluster234     COVAR   16076      -1.6471   -0.0020535       6.3294      0.60265
Cluster235     COVAR   16076       3.3178    0.0081759       2.9346      0.12913
Cluster236     COVAR   16076     -0.19148  -0.00028747       5.2558      0.51453
Cluster237     COVAR   16076       9.4857     0.012025       6.2559     0.064737
Cluster238     COVAR   16076       1.7524    0.0024974       5.4837      0.37465
Cluster239     COVAR   16076      -3.1318   -0.0041861       5.8772      0.70293
Cluster24      COVAR   16076       1.9911     0.012295        1.227     0.052329
Cluster240     COVAR   16076       2.8119    0.0037424       5.8676       0.3159
Cluster241     COVAR   16076       4.5159    0.0066986        5.301      0.19714
Cluster242     COVAR   16076       8.0197     0.010337       6.1272     0.095301
Cluster243     COVAR   16076       7.1058     0.010151       5.5822      0.10153
Cluster244     COVAR   16076      -1.4581   -0.0021825       5.1373      0.61173
Cluster245     COVAR   16076       7.7402     0.011187       5.4508     0.077812
Cluster246     COVAR   16076      -3.8345   -0.0068459       4.4949      0.80318
Cluster247     COVAR   16076      -1.9931   -0.0031156       4.8966        0.658
Cluster248     COVAR   16076      -3.4348   -0.0051004       5.3263      0.74049
Cluster249     COVAR   16076       4.2008    0.0055533       6.0072      0.24219
Cluster25      COVAR   16076         2.38      0.01169       1.5435     0.061557
