# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster172     COVAR   16333       2.2043    0.0036564       5.7462      0.35064
Cluster173     COVAR   16333       2.3831    0.0049554       4.2029      0.28536
Cluster174     COVAR   16333       2.7287    0.0046567       5.3147      0.30383
Cluster175     COVAR   16333      -2.0093   -0.0032843       5.8547      0.63427
Cluster176     COVAR   16333       5.4131     0.011047       4.3146      0.10482
Cluster177     COVAR   16333       36.932     0.051705       6.6543   1.4551e-08
Cluster178     COVAR   16333       20.319     0.032651       5.3651   7.6506e-05
Cluster179     COVAR   16333       22.834     0.035742       6.1282   9.7698e-05
Cluster18      COVAR   16333      -2.0208    -0.017676       1.0494      0.97292
Cluster180     COVAR   16333       7.7321      0.01743       4.2628     0.034862
Cluster181     COVAR   16333       9.3215     0.017419        5.149     0.035133
Cluster182     COVAR   16333       6.4776     0.014015       4.2369     0.063165
Cluster183     COVAR   16333        6.964     0.012525       5.1363     0.087589
Cluster184     COVAR   16333      -3.1194   -0.0078052       3.9148      0.78722
Cluster185     COVAR   16333       15.504     0.027219       5.3227    0.0017946
Cluster186     COVAR   16333      0.82695     0.001619        4.778       0.4313
Cluster187     COVAR   16333       7.8114     0.012395       5.9139     0.093287
Cluster188     COVAR   16333       12.535         0.02       5.7128      0.01412
Cluster189     COVAR   16333       3.0427    0.0065869       4.1632      0.23244
Cluster19      COVAR   16333      -4.0573     -0.02849       1.2794      0.99924
Cluster190     COVAR   16333       4.8976     0.010244       4.3376      0.12944
Cluster191     COVAR   16333       5.4936     0.011125       4.5134      0.11178
Cluster192     COVAR   16333       1.0051      0.00242       3.7349      0.39392
Cluster193     COVAR   16333       5.6044     0.010172       5.0757      0.13477
Cluster194     COVAR   16333       2.7873     0.006016       4.0618      0.24629
Cluster195     COVAR   16333       8.6033     0.017205       4.5782      0.03012
Cluster196     COVAR   16333       11.587     0.020935       5.0618     0.011047
Cluster197     COVAR   16333      0.87132    0.0015795       5.0825      0.43194
Cluster198     COVAR   16333       12.106     0.023028       4.8239    0.0060495
Cluster199     COVAR   16333       1.7481    0.0044672       3.5476      0.31109
Cluster2       COVAR   16333      -1.6352    -0.025541      0.59358      0.99706
Cluster20      COVAR   16333      -3.9292    -0.025539       1.3723       0.9979
Cluster200     COVAR   16333       7.8362     0.016051       4.3919     0.037203
Cluster201     COVAR   16333       17.354     0.026515       6.0741    0.0021415
Cluster202     COVAR   16333       20.889     0.034647       5.5176   7.6908e-05
Cluster203     COVAR   16333       11.423     0.018864         5.59     0.020516
Cluster204     COVAR   16333       2.0861    0.0040568       4.6839      0.32802
Cluster205     COVAR   16333       4.9986    0.0085337       5.3954      0.17711
Cluster206     COVAR   16333       18.008     0.036283       4.6637   5.6678e-05
Cluster207     COVAR   16333       18.224     0.032417       5.3628   0.00034006
Cluster208     COVAR   16333       13.417     0.023412       5.4576    0.0069838
Cluster209     COVAR   16333       3.5433     0.008584       3.7788      0.17422
Cluster21      COVAR   16333      -1.4856   -0.0091314       1.4302      0.85053
Cluster210     COVAR   16333       9.3848     0.019169       4.5631      0.01987
Cluster211     COVAR   16333       4.8835     0.011671       3.9866       0.1103
Cluster212     COVAR   16333       13.086     0.024098       5.1826    0.0057913
Cluster213     COVAR   16333       6.7345     0.011246       5.6891      0.11827
Cluster214     COVAR   16333       9.8519     0.015705       5.8346     0.045667
Cluster215     COVAR   16333       1.8263    0.0039282       4.3957       0.3389
Cluster216     COVAR   16333       21.597     0.031931       6.4933   0.00044163
Cluster217     COVAR   16333       47.666     0.057088       8.0669   1.7657e-09
Cluster218     COVAR   16333       19.248     0.030273       5.8771   0.00052965
Cluster219     COVAR   16333       17.008     0.028363       5.4574   0.00091722
Cluster22      COVAR   16333      -2.2481    -0.012581       1.6072      0.91905
Cluster220     COVAR   16333       30.785     0.047145       6.2042   3.5342e-07
Cluster221     COVAR   16333       15.881     0.029328       5.0099   0.00076388
Cluster222     COVAR   16333        18.46     0.033598       5.1431   0.00016638
Cluster223     COVAR   16333       21.768     0.038498       5.3016   2.0265e-05
Cluster224     COVAR   16333       32.351     0.045789       6.6396   5.5764e-07
Cluster225     COVAR   16333       32.258      0.05046       6.0488   4.9118e-08
Cluster226     COVAR   16333       35.733     0.049295       6.8641    9.809e-08
Cluster227     COVAR   16333       27.875     0.040808       6.3046   4.9419e-06
Cluster228     COVAR   16333       49.866     0.063313       7.4769   1.3356e-11
Cluster229     COVAR   16333       40.816     0.056673        6.627    3.767e-10
Cluster23      COVAR   16333      -3.0902    -0.016367        1.734      0.96262
Cluster230     COVAR   16333       30.899       0.0463       6.0908    1.984e-07
Cluster231     COVAR   16333       44.495     0.059248       7.0367   1.3217e-10
