VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,bonf_significant,rank,Cluster ID,Cluster name,Supercluster,Class auto-annotation,Top three regions
Cluster412,COVAR,16231,0.57975,0.0014892,4.8557,0.45248,False,346,412.0,Splat_412,Splatter,NEUR,"Hypothalamus: 97.4%, Midbrain: 2.2%, Thalamus: 0.3%"
Cluster183,COVAR,16231,0.76614,0.0013786,6.4357,0.45262,False,347,183.0,CA13_183,Hippocampal CA1-3,NEUR,"Hippocampus: 99.9%, Amygdala: 0.0%, Cerebral cortex: 0.0%"
Cluster190,COVAR,16231,0.50448,0.001056,5.506,0.4635,False,348,190.0,CA4_190,Hippocampal CA4,NEUR,"Hippocampus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster324,COVAR,16231,0.32299,0.00061918,6.4646,0.48008,False,349,324.0,Mmb_324,Mammillary body,NEUR,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster165,COVAR,16231,0.25207,0.0004793,6.2628,0.48395,False,350,165.0,Misc_165,Miscellaneous,NEUR,"Cerebral cortex: 92.1%, Hippocampus: 5.0%, Amygdala: 2.8%"
Cluster302,COVAR,16231,0.1269,0.00039618,3.8238,0.48676,False,351,302.0,CBI_302,Cerebellar inhibitory,NEUR,"Cerebellum: 60.1%, Medulla: 19.0%, Pons: 15.3%"
Cluster174,COVAR,16231,0.019456,3.3089e-05,6.882,0.49887,False,352,174.0,Amex_174,Amygdala excitatory,NEUR,"Cerebral cortex: 84.3%, Amygdala: 10.2%, Hippocampus: 5.2%"
Cluster409,COVAR,16231,-0.15078,-0.0004151,3.9782,0.51512,False,353,409.0,Splat_409,Splatter,NEUR,"Basal forebrain: 66.5%, Amygdala: 14.2%, Thalamus: 9.9%"
Cluster459,COVAR,16231,-0.32463,-0.0005813,6.8751,0.51883,False,354,459.0,Thex_459,Thalamic excitatory,NEUR,"Thalamus: 89.9%, Amygdala: 9.2%, Midbrain: 0.6%"
Cluster44,COVAR,16231,-0.21693,-0.00073055,3.4009,0.52543,False,355,44.0,Oligo_44,Oligodendrocyte,OLIGO,"Thalamus: 20.9%, Pons: 19.2%, Midbrain: 19.1%"
Cluster39,COVAR,16231,-0.16036,-0.00073208,2.4584,0.526,False,356,39.0,COP_39,Committed oligodendrocyte precursor,OLIGO,"Cerebral cortex: 28.1%, Hippocampus: 19.7%, Amygdala: 14.6%"
Cluster84,COVAR,16231,-0.74723,-0.0012269,7.3443,0.54052,False,357,84.0,DLCT6b_84,Deep-layer corticothalamic and 6b,NEUR,"Hippocampus: 98.5%, Amygdala: 0.8%, Cerebral cortex: 0.7%"
Cluster55,COVAR,16231,-0.38058,-0.0012717,3.5643,0.54252,False,358,55.0,Astro_55,Astrocyte,ASTRO,"Basal forebrain: 82.4%, Thalamus: 7.0%, Hypothalamus: 5.0%"
Cluster402,COVAR,16231,-0.64145,-0.0012713,5.8179,0.5439,False,359,402.0,Splat_402,Splatter,NEUR,"Midbrain: 58.2%, Hypothalamus: 41.6%, Amygdala: 0.1%"
Cluster449,COVAR,16231,-0.81964,-0.0015833,6.0771,0.55364,False,360,449.0,Thex_449,Thalamic excitatory,,"Thalamus: 98.7%, Amygdala: 1.0%, Midbrain: 0.3%"
Cluster454,COVAR,16231,-1.0634,-0.001844,6.8898,0.56133,False,361,454.0,Thex_454,Thalamic excitatory,,"Thalamus: 99.5%, Midbrain: 0.5%, Cerebral cortex: 0.0%"
Cluster111,COVAR,16231,-1.1313,-0.0021016,6.3943,0.57021,False,362,111.0,DLCT6b_111,Deep-layer corticothalamic and 6b,NEUR,"Hippocampus: 92.5%, Amygdala: 6.3%, Cerebral cortex: 1.2%"
Cluster182,COVAR,16231,-1.1275,-0.0024403,5.5318,0.58075,False,363,182.0,CA13_182,Hippocampal CA1-3,NEUR,"Hippocampus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
Cluster315,COVAR,16231,-1.2914,-0.0024142,6.2696,0.58159,False,364,315.0,LRL_315,Lower rhombic lip,NEUR,"Pons: 95.9%, Medulla: 1.9%, Cerebral cortex: 1.5%"
